dataset_id,author,downloads,likes,created_at,last_modified,tags
zjunlp/InstructIE,zjunlp,401,30,2023-07-29 02:20:17+00:00,2024-07-24 08:55:53+00:00,"arxiv:2305.11527,region:us"
yoshitomo-matsubara/srsd-feynman_easy_dummy,yoshitomo-matsubara,398,1,2023-02-16 06:56:39+00:00,2024-03-05 07:22:58+00:00,"task_categories:tabular-regression,annotations_creators:expert,language_creators:expert-generated,multilinguality:monolingual,source_datasets:extended,language:en,license:cc-by-4.0,size_categories:100K<n<1M,format:text,modality:text,library:datasets,library:mlcroissant,arxiv:2206.10540,doi:10.57967/hf/0760,region:us"
x-square-robot/libero_all,x-square-robot,389,1,2026-01-30 05:03:46+00:00,2026-01-30 05:44:03+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:timeseries,modality:video,library:datasets,library:dask,library:polars,library:mlcroissant,region:us"
codelion/sutra-10B,codelion,372,8,2026-02-25 13:54:59+00:00,2026-03-08 14:28:40+00:00,"task_categories:text-generation,language:en,license:apache-2.0,size_categories:1M<n<10M,format:json,modality:tabular,modality:text,library:datasets,library:dask,library:polars,library:mlcroissant,region:us,pretraining,educational,pedagogical,synthetic,sutra,multi-domain,10B"
vwxyzjn/ultrachat_200k_filtered_1708034814,vwxyzjn,360,0,2024-02-15 22:09:51+00:00,2024-02-15 22:12:40+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
yoshitomo-matsubara/srsd-feynman_medium_dummy,yoshitomo-matsubara,360,1,2023-02-16 07:01:48+00:00,2024-03-05 07:23:26+00:00,"task_categories:tabular-regression,annotations_creators:expert,language_creators:expert-generated,multilinguality:monolingual,source_datasets:extended,language:en,license:cc-by-4.0,size_categories:100K<n<1M,format:text,modality:text,library:datasets,library:mlcroissant,arxiv:2206.10540,doi:10.57967/hf/0759,region:us"
xinyu1205/mme_realworld_train_21690,xinyu1205,357,0,2025-04-29 02:33:34+00:00,2025-04-29 03:38:15+00:00,"size_categories:10K<n<100K,format:arrow,modality:image,modality:text,library:datasets,library:mlcroissant,region:us"
wandb/ragbench-sentence-relevance-balanced,wandb,337,1,2024-12-09 11:29:26+00:00,2024-12-09 11:29:38+00:00,"size_categories:100K<n<1M,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zli12321/mmstar,zli12321,336,0,2025-06-17 18:40:28+00:00,2025-06-17 18:41:00+00:00,"license:apache-2.0,size_categories:1K<n<10K,format:parquet,modality:image,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
xingyaoww/code-act,xingyaoww,320,76,2024-01-15 08:59:02+00:00,2024-02-05 05:23:24+00:00,"task_categories:text-generation,language:en,license:apache-2.0,size_categories:10K<n<100K,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2402.01030,region:us,llm-agent,llm,instruction-tuning"
voidful/NMSQA,voidful,317,7,2022-03-16 16:03:42+00:00,2023-04-04 04:46:23+00:00,"task_categories:question-answering,task_categories:automatic-speech-recognition,task_ids:abstractive-qa,annotations_creators:crowdsourced,annotations_creators:machine-generated,language_creators:expert-generated,language_creators:machine-generated,language_creators:crowdsourced,multilinguality:monolingual,source_datasets:original,language:en,size_categories:10K<n<100K,format:parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2203.04911,region:us,speech-recognition"
yeates/PromptfixData,yeates,300,12,2024-09-18 19:58:49+00:00,2024-10-26 04:56:31+00:00,"size_categories:1M<n<10M,format:parquet,modality:image,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,arxiv:2405.16785,region:us"
zai-org/ComplexFuncBench,zai-org,299,15,2025-01-17 07:18:30+00:00,2025-01-22 09:39:20+00:00,"task_categories:question-answering,language:en,license:apache-2.0,size_categories:1K<n<10K,arxiv:2501.10132,region:us"
zake7749/chinese-speech-corpus,zake7749,298,1,2023-08-21 09:33:09+00:00,2023-08-30 16:19:14+00:00,"language:zh,license:cc,size_categories:1K<n<10K,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zhuhu00/hm3d,zhuhu00,293,2,2026-03-25 12:52:43+00:00,2026-03-26 11:57:05+00:00,region:us
zai-org/AlignMMBench,zai-org,285,4,2024-06-13 06:35:28+00:00,2024-09-19 06:34:00+00:00,"task_categories:visual-question-answering,language:zh,license:cc-by-nc-sa-4.0,size_categories:1K<n<10K,modality:image,arxiv:2406.09295,region:us,image,alignment"
